model,accuracy_mean,precision_macro_mean,recall_macro_mean,f1_macro_mean,fit_time_s_mean
GradientBoost,0.9268556005398111,0.7640965821812596,0.8017233102918586,0.7771121351766512,2.0569786548614504
LinearSVC,0.9163292847503373,0.6623151154401155,0.6971886200716846,0.674546485260771,0.028838157653808594
RandomForest,0.9056680161943319,0.6312669764875647,0.6442332309267793,0.628968253968254,1.1751641273498534
XGBoost,0.8900134952766532,0.49413303200067904,0.5188364055299539,0.49716794813809734,5.6085199356079105
LogReg,0.8483130904183536,0.26959602459602455,0.2604822708653353,0.2573686642572393,0.08521618843078613
